id1,id2,Other name,Spectral class,Mass (Solar masses),Temperature (K),a,?a,e,?e,i,?i,omega1,??,omega2,??,Tp (yr),?Tp,P (yr),?P,Kmag,q (AU),?q,v (%c),?v,Radius (Solar radii)
S1,S0-1,,B0-2 V,,,0.595,0.024,0.556,0.018,119.14,0.21,342.04,0.32,122.3,1.4,2001.8,0.15,166,5.8,14.7,2160.7,6.7,0.55,0.03,4.49
S2,S0-2,,B0-2 V,14,,0.1251,0.0001,0.8843,0.0001,133.91,0.05,228.07,0.04,66.25,0.04,2018.379,0.001,16.0518,0,13.95,118.4,0.2,2.56,0,6.36
S4,S0-3,,B0-2 V,,,0.357,0.0037,0.3905,0.0059,80.33,0.08,258.84,0.07,290.8,1.5,1957.4,1.2,77,1,14.4,1779.7,25.1,0.57,0.01,
S6,S0-7,,B0-2 V,,,0.6574,0.0006,0.84,0.0003,87.24,0.06,85.07,0.12,116.23,0.07,2108.61,0.03,192,0.2,15.4,860.3,4.4,0.94,0,4.53
S8,S0-4,,B0-2 V,,,0.4047,0.0014,0.8031,0.0075,74.37,0.3,315.43,0.19,346.7,0.41,1983.64,0.24,92.9,0.4,14.5,651.7,22.5,1.07,0.01,4.47
S9,S0-5,,B0-2 V,,,0.2724,0.0041,0.644,0.02,82.41,0.24,156.6,0.1,150.6,1,1976.71,0.92,51.3,0.7,15.1,793.2,36.9,0.93,0.02,
S12,S0-19,,B4-9 V,,,0.2987,0.0018,0.8883,0.0017,33.56,0.49,230.1,1.8,317.9,1.5,1995.59,0.04,58.9,0.2,15.5,272.9,2,1.69,0.01,
S13,S0-20,,B4-9 V,,,0.2641,0.0016,0.425,0.0023,24.7,0.48,74.5,1.7,245.2,2.4,2004.86,0.04,49,0.1,15.8,1242,2.4,0.69,0.01,
S14,S0-16,,B4-9 V,,,0.2863,0.0036,0.9761,0.0037,100.59,0.87,226.38,0.64,334.59,0.87,2000.12,0.06,55.3,0.5,15.7,56,3.8,3.83,0.06,3.1789
S17,,,K0 III,,"5,000",0.3559,0.0096,0.397,0.011,96.83,0.11,191.62,0.21,326,1.9,1991.19,0.41,76.6,1,15.3,1755.3,16.4,0.57,0.02,9
